enso_index,action_WWV,action_NPMM,action_SPMM,action_IOB,action_IOD,action_SIOD,action_TNA,action_ATL3,action_SASD,state_Nino34,state_WWV,state_NPMM,state_SPMM,state_IOB,state_IOD,state_SIOD,state_TNA,state_ATL3,state_SASD
0.024292944,-0.38363367,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.8232142,0.024292944,-14.060627,-0.027072819,0.6773563,0.30352587,0.37054545,-0.42556435,0.28307492,0.22654474,-1.0603403
-0.123966575,-0.40523064,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.8482195,-0.123966575,-15.094619,-0.058286652,0.7423832,0.19110513,0.43764105,-0.30143082,0.3340077,0.29272613,-1.1185846
-0.24095574,-0.48146117,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.87325835,-0.24095574,-14.969242,-0.09160519,0.63354355,0.12732977,0.3501617,-0.13613443,0.54719937,0.4324301,-1.0336903
-0.4203913,-0.37061638,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.9250927,-0.4203913,-13.089402,-0.20187964,0.5599264,0.01751945,0.47116494,-0.21096234,0.520861,0.5403436,-0.9482252
-0.58215564,-0.39697415,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.98533666,-0.58215564,-12.340882,-0.272993,0.5977354,0.06891144,0.53884274,-0.38881463,0.5289207,0.9414642,-0.9653992
-0.43638247,-0.30143148,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.9288533,-0.43638247,-10.831805,-0.2608014,0.5672375,0.09859537,0.37153316,-0.37005994,0.4337872,0.9957901,-0.889977
-0.24708594,-0.37400365,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.91225994,-0.24708594,-12.776339,-0.24648885,0.49718365,0.13121465,0.40983966,-0.3660068,0.44359034,1.1054982,-0.91282934
-0.38517624,-0.4304102,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.9710307,-0.38517624,-14.030309,-0.40871862,0.40080833,0.10017774,0.42701197,-0.28464448,0.39073643,1.060541,-0.7791221
-0.7674095,-0.49293917,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.96091187,-0.7674095,-15.450449,-0.4119438,0.39338714,0.053585224,0.2833993,-0.39032802,0.50165313,1.0620631,-1.0868462
-0.94545454,-0.48389643,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.99382055,-0.94545454,-13.297263,-0.34152362,0.22849455,0.051714543,0.13556388,-0.41916505,0.50929666,1.1045992,-1.0619249
-0.9740228,-0.9135812,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.97098184,-0.9740228,-12.145467,-0.254044,-0.03844209,0.091180295,0.12449768,-0.36362574,0.6808983,1.0761288,-1.2302884
-0.8779152,-0.7528285,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.97147214,-0.8779152,-13.052385,-0.19462042,-0.05752617,0.2869457,0.47482857,-0.29332677,0.5350416,0.97768384,-1.0027599
-0.62261575,-0.7249661,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.9488026,-0.62261575,-10.046757,-0.21973246,-0.107188836,0.36376813,0.4728743,-0.071231395,0.46796453,0.84229136,-0.9600166
-0.75861335,-0.71463674,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.9513796,-0.75861335,-11.690441,-0.33581278,-0.14663224,0.33152235,0.18217318,-0.2396693,0.4078094,0.8673183,-0.8898963
-0.6914423,-0.6986991,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.9193406,-0.6914423,-12.619697,-0.27699697,-0.093872696,0.28097036,0.15048717,-0.2736406,0.33417326,1.0580307,-1.1096948
-0.97197115,-0.74879414,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.92821753,-0.97197115,-13.750941,-0.33708447,0.07714884,0.2621773,-0.20206288,-0.3528645,0.45641747,1.2150258,-1.0665189
-1.0573804,-0.8510366,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.9516283,-1.0573804,-8.925031,-0.3571091,0.07673253,0.21150956,-0.3897277,-0.31131062,0.48789147,1.2724092,-1.1095384
